16, 150, PA5-C-Debug-SampleReadingsTest.txt 6
  -81.37,   -39.49,   116.01
  -35.50,     0.63,    62.35
  -76.66,    15.24,   108.38
   12.10,   -14.30,    92.39
    1.73,   -49.19,    45.80
  -28.40,    14.47,    41.22
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -39.17,   -31.19,   107.56
    6.69,     8.93,    53.90
  -34.47,    23.54,    99.93
   54.30,    -5.99,    83.95
   43.93,   -40.89,    37.35
   13.80,    22.77,    32.77
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -52.75,   -60.60,    94.83
   -6.89,   -20.48,    41.17
  -48.05,    -5.87,    87.20
   40.71,   -35.41,    71.21
   30.34,   -70.30,    24.62
    0.22,    -6.64,    20.04
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -88.03,   -50.40,    86.81
  -42.17,   -10.27,    33.15
  -83.33,     4.34,    79.18
    5.44,   -25.20,    63.19
   -4.94,   -60.09,    16.60
  -35.06,     3.57,    12.02
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -53.52,   -38.29,    87.39
   -7.66,     1.83,    33.73
  -48.82,    16.44,    79.76
   39.95,   -13.09,    63.77
   29.57,   -47.99,    17.18
   -0.55,    15.67,    12.60
   -7.38,   -27.27,   -78.41
   13.47,     9.04,   -42.03
   23.01,     6.88,  -101.13
   11.17,    -2.67,   -58.37
   27.20,    23.16,   -88.83
  -32.91,    18.75,   -82.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -46.89,   -18.27,   131.36
   -1.03,    21.86,    77.70
  -42.19,    36.47,   123.73
   46.58,     6.93,   107.74
